states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andhra-pradesh,2018,1,chittoor district,830324.0,1009621878.0870508,309541,district_map
andhra-pradesh,2018,1,guntur district,815932.0,1108686589.026682,317065,district_map
andhra-pradesh,2018,1,krishna district,863935.0,1284255179.61562,323673,district_map
andhra-pradesh,2018,2,east godavari district,1221677.0,2168914928.423901,454398,district_map
andhra-pradesh,2018,2,srikakulam district,559868.0,929392017.3670052,186913,district_map
andhra-pradesh,2018,2,spsr nellore district,780454.0,1542057934.010896,261049,district_map
andhra-pradesh,2018,2,vizianagaram district,529588.0,811711367.5080049,167327,district_map
andhra-pradesh,2018,2,visakhapatnam district,1641192.0,2987853607.2939086,636052,district_map
andhra-pradesh,2018,2,prakasam district,739991.0,1571167562.1276271,253458,district_map
andhra-pradesh,2018,2,anantapur district,937023.0,1690366079.055792,326383,district_map
andhra-pradesh,2018,2,ysr district,690842.0,1415500367.686184,248657,district_map
andhra-pradesh,2018,2,west godavari district,786033.0,1688025212.304594,282393,district_map
andhra-pradesh,2018,2,kurnool district,968439.0,1531888665.684323,319313,district_map
andhra-pradesh,2018,2,chittoor district,1185723.0,1990419125.893711,414306,district_map
andhra-pradesh,2018,2,guntur district,1088101.0,2108475811.785996,420326,district_map
andhra-pradesh,2018,2,krishna district,1224987.0,2448141593.4919834,431965,district_map
andhra-pradesh,2018,3,east godavari district,3226907.0,3551247095.3074474,558982,district_map
andhra-pradesh,2018,3,srikakulam district,1073883.0,1318322236.598471,228456,district_map
andhra-pradesh,2018,3,spsr nellore district,1308890.0,2215938596.185108,322446,district_map
andhra-pradesh,2018,3,vizianagaram district,970132.0,1163546006.895916,203655,district_map
andhra-pradesh,2018,3,visakhapatnam district,3394576.0,4821892253.393524,769096,district_map
andhra-pradesh,2018,3,prakasam district,1319651.0,2346453445.483843,314899,district_map
andhra-pradesh,2018,3,anantapur district,1815215.0,2681787750.4641647,405855,district_map
andhra-pradesh,2018,3,ysr district,1557444.0,2235904512.2542043,308391,district_map
andhra-pradesh,2018,3,west godavari district,1431282.0,2309078492.805814,349782,district_map
andhra-pradesh,2018,3,kurnool district,2921189.0,2908389261.539773,394311,district_map
andhra-pradesh,2018,3,chittoor district,2297429.0,3283517630.720593,515727,district_map
andhra-pradesh,2018,3,guntur district,1912529.0,3127764663.180438,518931,district_map
andhra-pradesh,2018,3,krishna district,2396934.0,3754202654.384461,537086,district_map
andhra-pradesh,2018,4,east godavari district,3052762.0,4652624623.436675,694455,district_map
andhra-pradesh,2018,4,srikakulam district,1252807.0,1870278609.504549,284874,district_map
andhra-pradesh,2018,4,spsr nellore district,1814997.0,3293448556.973445,407495,district_map
andhra-pradesh,2018,4,vizianagaram district,1386787.0,1817673252.541776,257824,district_map
andhra-pradesh,2018,4,visakhapatnam district,4791421.0,7366635864.849373,978288,district_map
andhra-pradesh,2018,4,prakasam district,1692862.0,3255254226.03728,394962,district_map
andhra-pradesh,2018,4,anantapur district,2286391.0,3975878156.3298287,510892,district_map
andhra-pradesh,2018,4,ysr district,1732527.0,3252340063.247859,387058,district_map
andhra-pradesh,2018,4,west godavari district,1688482.0,3237504255.4632454,435668,district_map
andhra-pradesh,2018,4,kurnool district,2508530.0,3626544852.406924,498582,district_map
andhra-pradesh,2018,4,chittoor district,3166201.0,4979093890.223491,665280,district_map
andhra-pradesh,2018,4,guntur district,2546620.0,4730251217.69696,659552,district_map
andhra-pradesh,2018,4,krishna district,2839161.0,5416251838.130406,682479,district_map
andhra-pradesh,2019,1,east godavari district,5440146.0,7382264724.59952,839277,district_map
andhra-pradesh,2019,1,srikakulam district,2526855.0,3407912878.415258,345775,district_map
andhra-pradesh,2019,1,spsr nellore district,3333584.0,5161932216.216368,491908,district_map
andhra-pradesh,2019,1,vizianagaram district,2798241.0,3364576948.2993007,313334,district_map
andhra-pradesh,2019,1,visakhapatnam district,9690866.0,13459857440.55268,1174517,district_map
andhra-pradesh,2019,1,prakasam district,2931081.0,4807527779.215152,474260,district_map
andhra-pradesh,2019,1,anantapur district,3891336.0,6044730653.191345,612162,district_map
andhra-pradesh,2019,1,ysr district,2852197.0,4915811593.896078,460590,district_map
andhra-pradesh,2019,1,west godavari district,2829437.0,4623764455.47309,523372,district_map
andhra-pradesh,2019,1,kurnool district,4193432.0,5541564892.509683,599422,district_map
andhra-pradesh,2019,1,chittoor district,6486813.0,8223371732.233584,812314,district_map
andhra-pradesh,2019,1,guntur district,4846553.0,7765934169.404485,802394,district_map
andhra-pradesh,2019,1,krishna district,5443981.0,9061346433.07268,833694,district_map
andhra-pradesh,2019,2,east godavari district,4699261.0,9116404622.476513,945181,district_map
andhra-pradesh,2019,2,srikakulam district,2019203.0,4066576539.936839,392764,district_map
