states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andhra-pradesh,2018,1,prakasam,534757.0,748990775.8676486,189949.0,district_top
andhra-pradesh,2018,1,spsr nellore,531612.0,676643237.8069417,194475.0,district_top
andhra-pradesh,2018,2,visakhapatnam,1641192.0,2987853607.2939086,636052.0,district_top
andhra-pradesh,2018,2,krishna,1224987.0,2448141593.4919834,431965.0,district_top
andhra-pradesh,2018,2,east godavari,1221677.0,2168914928.423901,454398.0,district_top
andhra-pradesh,2018,2,chittoor,1185723.0,1990419125.893711,414306.0,district_top
andhra-pradesh,2018,2,guntur,1088101.0,2108475811.785997,420326.0,district_top
andhra-pradesh,2018,2,kurnool,968439.0,1531888665.684323,319313.0,district_top
andhra-pradesh,2018,2,anantapur,937023.0,1690366079.055792,326383.0,district_top
andhra-pradesh,2018,2,west godavari,786033.0,1688025212.304594,282393.0,district_top
andhra-pradesh,2018,2,spsr nellore,780454.0,1542057934.010896,261049.0,district_top
andhra-pradesh,2018,2,prakasam,739991.0,1571167562.1276271,253458.0,district_top
andhra-pradesh,2018,3,visakhapatnam,3394576.0,4821892253.393524,769096.0,district_top
andhra-pradesh,2018,3,east godavari,3226907.0,3551247095.307446,558982.0,district_top
andhra-pradesh,2018,3,kurnool,2921189.0,2908389261.539773,394311.0,district_top
andhra-pradesh,2018,3,krishna,2396934.0,3754202654.384461,537086.0,district_top
andhra-pradesh,2018,3,chittoor,2297429.0,3283517630.720593,515727.0,district_top
andhra-pradesh,2018,3,guntur,1912529.0,3127764663.180438,518931.0,district_top
andhra-pradesh,2018,3,anantapur,1815215.0,2681787750.4641647,405855.0,district_top
andhra-pradesh,2018,3,ysr,1557444.0,2235904512.2542043,,district_top
andhra-pradesh,2018,3,west godavari,1431282.0,2309078492.805815,349782.0,district_top
andhra-pradesh,2018,3,prakasam,1319651.0,2346453445.4838424,314899.0,district_top
andhra-pradesh,2018,4,visakhapatnam,4791421.0,7366635864.849373,978288.0,district_top
andhra-pradesh,2018,4,chittoor,3166201.0,4979093890.223491,665280.0,district_top
andhra-pradesh,2018,4,east godavari,3052762.0,4652624623.436675,694455.0,district_top
andhra-pradesh,2018,4,krishna,2839161.0,5416251838.130406,682479.0,district_top
andhra-pradesh,2018,4,guntur,2546620.0,4730251217.69696,659552.0,district_top
andhra-pradesh,2018,4,kurnool,2508530.0,3626544852.406924,498582.0,district_top
andhra-pradesh,2018,4,anantapur,2286391.0,3975878156.3298287,510892.0,district_top
andhra-pradesh,2018,4,spsr nellore,1814997.0,3293448556.973445,407495.0,district_top
andhra-pradesh,2018,4,ysr,1732527.0,3252340063.247859,,district_top
andhra-pradesh,2018,4,prakasam,1692862.0,3255254226.03728,394962.0,district_top
andhra-pradesh,2019,1,visakhapatnam,9690866.0,13459857440.55268,1174517.0,district_top
andhra-pradesh,2019,1,chittoor,6486813.0,8223371732.233584,812314.0,district_top
andhra-pradesh,2019,1,krishna,5443981.0,9061346433.07268,833694.0,district_top
andhra-pradesh,2019,1,east godavari,5440146.0,7382264724.59952,839277.0,district_top
andhra-pradesh,2019,1,guntur,4846553.0,7765934169.404485,802394.0,district_top
andhra-pradesh,2019,1,kurnool,4193432.0,5541564892.509683,599422.0,district_top
andhra-pradesh,2019,1,anantapur,3891336.0,6044730653.191345,612162.0,district_top
andhra-pradesh,2019,1,spsr nellore,3333584.0,5161932216.216368,491908.0,district_top
andhra-pradesh,2019,1,prakasam,2931081.0,4807527779.215152,474260.0,district_top
andhra-pradesh,2019,1,ysr,2852197.0,4915811593.896078,,district_top
andhra-pradesh,2019,2,visakhapatnam,11705738.0,20797479804.02907,1318740.0,district_top
andhra-pradesh,2019,2,krishna,6428472.0,13437029115.62075,952300.0,district_top
andhra-pradesh,2019,2,chittoor,5983308.0,10982727976.22432,925491.0,district_top
andhra-pradesh,2019,2,guntur,5005275.0,10405246943.48149,915256.0,district_top
andhra-pradesh,2019,2,east godavari,4699261.0,9116404622.476513,945181.0,district_top
andhra-pradesh,2019,2,kurnool,3895824.0,7358285187.018034,680118.0,district_top
andhra-pradesh,2019,2,anantapur,3578836.0,7830782361.377665,695114.0,district_top
andhra-pradesh,2019,2,spsr nellore,3141891.0,6880873007.482059,558303.0,district_top
andhra-pradesh,2019,2,prakasam,2670529.0,6262396448.455348,539462.0,district_top
andhra-pradesh,2019,2,ysr,2606284.0,6376856828.130631,,district_top
andhra-pradesh,2019,3,visakhapatnam,16694947.0,26944837120.04628,1460464.0,district_top
andhra-pradesh,2019,3,krishna,8408474.0,16404073560.50078,1066546.0,district_top
andhra-pradesh,2019,3,chittoor,8201783.0,13837455758.755262,1032733.0,district_top
andhra-pradesh,2019,3,guntur,6942304.0,13075661264.18803,1026418.0,district_top
andhra-pradesh,2019,3,east godavari,6537303.0,11387726470.57774,1057167.0,district_top
andhra-pradesh,2019,3,kurnool,5139134.0,9025632779.412457,755024.0,district_top
andhra-pradesh,2019,3,anantapur,4889720.0,9554081289.488276,773656.0,district_top
andhra-pradesh,2019,3,spsr nellore,4150195.0,8256600118.735449,619592.0,district_top
andhra-pradesh,2019,3,prakasam,3430750.0,7354502261.15091,598568.0,district_top
andhra-pradesh,2019,3,ysr,3296586.0,7447544274.211781,,district_top
andhra-pradesh,2019,4,visakhapatnam,23594874.0,39133296330.044624,1620235.0,district_top
andhra-pradesh,2019,4,krishna,11719402.0,23039786404.04663,1199971.0,district_top
andhra-pradesh,2019,4,chittoor,11246986.0,19298476027.87548,1156351.0,district_top
andhra-pradesh,2019,4,guntur,9761330.0,18565626418.03591,1158708.0,district_top
andhra-pradesh,2019,4,east godavari,9285739.0,16816774065.30131,1195228.0,district_top
andhra-pradesh,2019,4,kurnool,7001958.0,13233105728.54823,846885.0,district_top
andhra-pradesh,2019,4,anantapur,6764112.0,13887248889.06406,873033.0,district_top
andhra-pradesh,2019,4,spsr nellore,5877804.0,11786014089.19402,697154.0,district_top
andhra-pradesh,2019,4,prakasam,4865473.0,10604077824.801031,673522.0,district_top
andhra-pradesh,2019,4,ysr,4793157.0,10865073855.73078,,district_top
andhra-pradesh,2020,1,visakhapatnam,27115031.0,48809747614.67889,1763581.0,district_top
andhra-pradesh,2020,1,chittoor,13257740.0,23441848567.34419,1270907.0,district_top
andhra-pradesh,2020,1,krishna,12175289.0,24481702770.71471,1331602.0,district_top
andhra-pradesh,2020,1,guntur,11493331.0,22992734620.64621,1289678.0,district_top
andhra-pradesh,2020,1,east godavari,11346242.0,21854701379.42868,1329664.0,district_top
andhra-pradesh,2020,1,anantapur,8466129.0,17864325752.82528,971850.0,district_top
andhra-pradesh,2020,1,kurnool,8246869.0,17022710311.81304,936293.0,district_top
andhra-pradesh,2020,1,spsr nellore,7430247.0,15387829694.44686,775440.0,district_top
andhra-pradesh,2020,1,prakasam,6318396.0,14169104764.52673,748655.0,district_top
andhra-pradesh,2020,1,ysr,6031255.0,14059924636.81991,,district_top
andhra-pradesh,2020,2,visakhapatnam,25300401.0,48293889917.414375,1904719.0,district_top
andhra-pradesh,2020,2,chittoor,14848197.0,27361300300.01902,1385916.0,district_top
andhra-pradesh,2020,2,east godavari,13130334.0,26319906327.32029,1459116.0,district_top
andhra-pradesh,2020,2,krishna,12313709.0,26964149095.36629,1459041.0,district_top
andhra-pradesh,2020,2,guntur,12308707.0,27463593607.83911,1426271.0,district_top
andhra-pradesh,2020,2,anantapur,10473739.0,22094006659.412502,1076953.0,district_top
andhra-pradesh,2020,2,kurnool,9821381.0,22419372061.80517,1035093.0,district_top
andhra-pradesh,2020,2,spsr nellore,9454274.0,20665376460.772232,854459.0,district_top
andhra-pradesh,2020,2,prakasam,8844580.0,19846026726.90433,830709.0,district_top
andhra-pradesh,2020,2,ysr,8033609.0,19597207268.13202,,district_top
andhra-pradesh,2020,3,visakhapatnam,34421299.0,67628440368.111465,2058346.0,district_top
andhra-pradesh,2020,3,chittoor,20501863.0,42811566246.16463,1506503.0,district_top
andhra-pradesh,2020,3,krishna,19110457.0,44788458672.08444,1599289.0,district_top
andhra-pradesh,2020,3,east godavari,17972431.0,39300043804.758514,1601940.0,district_top
andhra-pradesh,2020,3,guntur,17601395.0,42531195809.75448,1567595.0,district_top
andhra-pradesh,2020,3,spsr nellore,16468209.0,39128324534.03021,937176.0,district_top
andhra-pradesh,2020,3,anantapur,14447683.0,34102037972.65785,1186851.0,district_top
andhra-pradesh,2020,3,kurnool,13243292.0,32529351107.17173,1132240.0,district_top
andhra-pradesh,2020,3,prakasam,12266310.0,31221704852.44969,915240.0,district_top
andhra-pradesh,2020,3,ysr,11934653.0,32037007334.12973,,district_top
andhra-pradesh,2020,4,visakhapatnam,46551467.0,91879823025.404,2209658.0,district_top
andhra-pradesh,2020,4,chittoor,29590411.0,61505711149.79541,1631331.0,district_top
andhra-pradesh,2020,4,krishna,27981050.0,64461504667.607216,1744028.0,district_top
andhra-pradesh,2020,4,guntur,26136538.0,60641872021.254326,1712940.0,district_top
andhra-pradesh,2020,4,east godavari,25989490.0,58732615663.118416,1746280.0,district_top
andhra-pradesh,2020,4,anantapur,20996384.0,49732610814.26222,1295872.0,district_top
andhra-pradesh,2020,4,spsr nellore,20934374.0,49115443663.37911,1022944.0,district_top
andhra-pradesh,2020,4,kurnool,18737323.0,44718203115.22612,1230466.0,district_top
andhra-pradesh,2020,4,prakasam,16176867.0,41852443493.51539,999462.0,district_top
andhra-pradesh,2020,4,ysr,15676878.0,42572974713.44025,,district_top
andhra-pradesh,2021,1,visakhapatnam,48248923.0,95308386037.8472,2368081.0,district_top
andhra-pradesh,2021,1,krishna,29717175.0,69715406644.53484,1876458.0,district_top
andhra-pradesh,2021,1,chittoor,29342609.0,60947491846.66088,1751420.0,district_top
andhra-pradesh,2021,1,guntur,27445045.0,64207987853.1084,1843237.0,district_top
andhra-pradesh,2021,1,east godavari,26190701.0,60027984987.96951,1878769.0,district_top
andhra-pradesh,2021,1,spsr nellore,22541428.0,52210333201.53073,1100541.0,district_top
andhra-pradesh,2021,1,anantapur,20102957.0,48353870395.01808,1394849.0,district_top
andhra-pradesh,2021,1,kurnool,17918524.0,44941629659.56964,1323411.0,district_top
andhra-pradesh,2021,1,west godavari,16015685.0,42124030669.36127,1254117.0,district_top
andhra-pradesh,2021,1,ysr,15374473.0,42570919448.50447,,district_top
andhra-pradesh,2021,2,visakhapatnam,54390299.0,114439012713.3533,2526830.0,district_top
andhra-pradesh,2021,2,krishna,36370960.0,90021923049.96454,2002662.0,district_top
andhra-pradesh,2021,2,chittoor,34344902.0,73654690122.43158,1870723.0,district_top
andhra-pradesh,2021,2,guntur,32968819.0,82356914463.83287,1968681.0,district_top
andhra-pradesh,2021,2,east godavari,31717908.0,74604325863.66068,2006272.0,district_top
andhra-pradesh,2021,2,spsr nellore,30290406.0,72283071757.09679,1176334.0,district_top
andhra-pradesh,2021,2,anantapur,25123346.0,60987487571.27992,1492738.0,district_top
andhra-pradesh,2021,2,kurnool,21972396.0,56659287474.9958,1415585.0,district_top
andhra-pradesh,2021,2,west godavari,20950964.0,57233116236.187965,1339377.0,district_top
andhra-pradesh,2021,2,prakasam,19944047.0,54535328043.04135,1151232.0,district_top
andhra-pradesh,2021,3,visakhapatnam,69220981.0,136945652159.2651,2707931.0,district_top
andhra-pradesh,2021,3,krishna,44828275.0,104417897558.5897,2145423.0,district_top
andhra-pradesh,2021,3,chittoor,42628568.0,89371931753.04831,2007011.0,district_top
andhra-pradesh,2021,3,guntur,41675093.0,96525353090.12306,2110878.0,district_top
andhra-pradesh,2021,3,east godavari,39572714.0,89380370072.7078,2150622.0,district_top
andhra-pradesh,2021,3,spsr nellore,34411958.0,77839676988.30869,1263550.0,district_top
andhra-pradesh,2021,3,anantapur,30366444.0,70291248155.64975,1606735.0,district_top
andhra-pradesh,2021,3,kurnool,26377809.0,62527453761.59808,1522196.0,district_top
andhra-pradesh,2021,3,west godavari,26245039.0,66647238455.1675,1436576.0,district_top
